visitor_ab,home_ab,visitor_hr,home_hr,home,visitor
34,34,3,2,BAL,BOS
51,52,1,1,CLE,DET
37,32,2,0,BAL,BOS
43,44,0,0,CLE,DET
48,39,2,2,BAL,BOS
30,37,0,2,CLE,DET
42,31,2,0,CLE,MIN
45,44,2,2,TBA,BOS
34,32,0,0,CLE,MIN
35,30,2,4,TBA,BOS
33,28,0,0,CLE,MIN
35,39,2,4,NYA,BOS
33,35,2,0,CHA,CLE
46,51,0,1,NYA,BOS
34,34,0,1,CHA,CLE
30,30,0,1,NYA,BOS
37,35,1,2,CHA,CLE
33,34,1,3,NYA,BOS
33,34,0,3,BOS,DET
35,28,1,3,BOS,DET
33,29,0,0,CLE,TEX
29,34,2,2,BOS,DET
32,32,0,0,CLE,TEX
32,31,1,0,BOS,DET
37,31,1,0,CLE,TEX
29,34,0,1,MIN,CLE
35,32,2,1,TEX,BOS
38,39,2,1,MIN,CLE
34,35,2,1,TEX,BOS
38,32,3,1,MIN,CLE
33,32,2,2,TEX,BOS
40,36,0,0,CLE,ANA
34,39,2,3,TOR,BOS
30,33,0,0,CLE,ANA
38,33,3,0,TOR,BOS
34,36,1,0,CLE,ANA
38,28,3,0,TOR,BOS
49,37,2,2,BOS,NYA
38,36,3,0,CLE,SEA
37,39,1,4,BOS,NYA
42,37,1,2,CLE,SEA
37,35,5,0,BOS,NYA
33,34,1,1,CLE,SEA
34,37,2,2,BOS,CHA
38,31,2,0,KCA,CLE
35,36,1,1,BOS,CHA
31,31,1,2,KCA,CLE
33,31,1,3,BOS,CHA
37,33,1,0,KCA,CLE
35,37,2,2,BAL,CLE
39,35,1,3,BOS,CHA
36,36,1,2,BAL,CLE
36,33,2,1,BOS,TOR
38,32,2,1,BAL,CLE
31,31,0,0,BOS,TOR
34,30,0,1,BAL,CLE
32,33,0,1,BOS,TOR
36,34,1,3,DET,CLE
39,38,3,1,TBA,BOS
30,31,1,0,DET,CLE
33,35,0,3,TBA,BOS
35,32,0,1,DET,CLE
37,33,1,0,TBA,BOS
34,44,0,1,CHA,BOS
31,35,0,0,CLE,MIN
30,30,1,2,CHA,BOS
29,31,0,1,CLE,MIN
36,32,2,1,CHA,BOS
29,30,0,0,CLE,MIN
34,30,0,1,CHA,BOS
32,33,0,6,BOS,BAL
38,42,4,2,CLE,TEX
43,36,1,2,CLE,TEX
37,35,0,0,BOS,BAL
44,33,2,0,CLE,TEX
38,41,1,0,CLE,KCA
19,23,0,1,BOS,TBA
39,39,0,1,CLE,KCA
31,31,0,1,BOS,TBA
29,30,0,1,BOS,TBA
38,28,1,0,CLE,KCA
33,35,2,2,MIN,CLE
33,30,0,1,BOS,ANA
32,32,1,1,MIN,CLE
45,37,1,0,BOS,ANA
38,34,1,1,MIN,CLE
34,32,1,2,BOS,ANA
32,30,0,1,OAK,CLE
37,31,1,1,BAL,BOS
32,29,0,0,OAK,CLE
44,36,3,4,BAL,BOS
37,38,0,2,OAK,CLE
40,34,2,1,BAL,BOS
34,38,0,1,OAK,CLE
38,33,1,1,KCA,BOS
31,33,1,0,CLE,DET
30,32,0,0,KCA,BOS
42,35,3,0,CLE,DET
37,38,1,0,KCA,BOS
36,38,0,1,CLE,DET
44,36,1,1,KCA,BOS
35,29,1,1,CLE,BAL
33,36,2,1,NYA,BOS
35,37,3,2,CLE,BAL
28,30,0,1,NYA,BOS
31,35,0,2,CLE,BAL
34,31,0,2,NYA,BOS
34,25,3,3,BOS,TOR
36,29,0,1,CLE,CHA
38,36,6,1,BOS,TOR
42,29,4,0,BOS,TOR
31,26,0,1,CLE,CHA
30,31,0,0,CLE,CHA
28,33,0,0,BOS,CLE
35,30,0,0,BOS,CLE
36,34,1,4,BOS,CLE
35,35,1,5,BOS,CLE
37,34,2,1,BOS,NYA
30,28,0,2,CHA,CLE
35,35,1,1,BOS,NYA
34,35,1,0,BOS,NYA
36,26,0,1,CHA,CLE
41,37,0,1,CHA,CLE
30,32,1,0,DET,CLE
33,30,1,2,KCA,BOS
30,26,0,1,DET,CLE
37,34,5,0,KCA,BOS
34,42,3,0,DET,CLE
37,35,1,2,KCA,BOS
36,34,1,1,CLE,TEX
31,36,0,1,MIN,BOS
41,31,1,0,CLE,TEX
36,34,1,1,MIN,BOS
29,32,1,1,CLE,TEX
32,39,0,1,MIN,BOS
41,41,1,1,BOS,TBA
29,31,1,1,CLE,CHA
34,38,1,3,BOS,TBA
29,29,0,1,CLE,CHA
32,27,2,0,BOS,TBA
35,30,0,1,CLE,CHA
35,30,1,1,BOS,TBA
34,38,0,2,BOS,TEX
32,28,1,0,MIN,CLE
40,43,1,3,BOS,TEX
32,28,0,1,MIN,CLE
33,31,0,0,BOS,TEX
35,27,1,0,MIN,CLE
34,26,1,1,BOS,BAL
26,37,0,1,OAK,CLE
42,32,2,3,BOS,BAL
33,33,0,0,OAK,CLE
45,41,1,0,BOS,BAL
33,37,0,1,OAK,CLE
36,35,1,2,ANA,CLE
45,42,0,2,TOR,BOS
40,35,1,1,ANA,CLE
33,34,0,0,TOR,BOS
31,31,0,1,ANA,CLE
33,28,0,0,TOR,BOS
35,35,3,1,BAL,BOS
38,37,1,0,CLE,MIN
39,34,4,5,BAL,BOS
41,40,2,1,CLE,MIN
31,34,2,0,BAL,BOS
45,33,3,0,CLE,MIN
36,43,0,4,BOS,ANA
33,29,3,0,CLE,TOR
29,34,0,0,BOS,ANA
38,36,1,0,CLE,TOR
28,32,1,2,BOS,ANA
