yearID,teamID,R,RA,RperG,RAperG,W,L,WPct,Cook_WPct,Soolman_WPct,Kross_WPct,Smyth_WPct,BJames_Pythag_WPct,BJames_Pythag_WPctII
1940,CIN,707,528,4.6209,3.4510,100,53,0.6536,0.6480833,0.6208824,0.6695,0.6449,0.64195712229,0.630471461773
1914,PHA,749,529,4.9276,3.4803,99,53,0.6513,0.6852854,0.6491513,0.7079,0.6721,0.667189555232,0.653935491098
1933,WS1,850,665,5.5921,4.3750,99,53,0.6513,0.6186466,0.6247697,0.6391,0.6221,0.620318100839,0.610442407426
1938,NYA,966,710,6.3553,4.6711,99,53,0.6513,0.6585127,0.6721184,0.6803,0.6527,0.649262205202,0.637251564957
1918,CHN,538,393,4.1705,3.0465,84,45,0.6512,0.6625751,0.6166047,0.6845,0.6557,0.652058041014,0.639849173364
1903,PIT,793,613,5.6643,4.3786,91,49,0.6500,0.6261207,0.6317643,0.6468,0.6280,0.625958324458,0.615655593419
1915,DET,778,597,5.0519,3.8766,100,54,0.6494,0.6307404,0.6210065,0.6516,0.6316,0.629394203764,0.618833796029
1917,CHA,656,464,4.2597,3.0130,100,54,0.6494,0.6842759,0.6291558,0.7069,0.6714,0.666534496431,0.653324670786
1935,CHN,847,597,5.5000,3.8766,100,54,0.6494,0.6866801,0.6667078,0.7094,0.6731,0.668091799541,0.654776959105
1941,BRO,800,581,5.1948,3.7727,100,54,0.6494,0.6664372,0.6462792,0.6885,0.6586,0.654690602428,0.642296493674
1994,MON,585,454,5.1316,3.9825,74,40,0.6491,0.6236564,0.6182281,0.6443,0.6261,0.624109814878,0.613946494813
2004,SLN,855,659,5.2778,4.0679,105,57,0.6481,0.6279514,0.6243395,0.6487,0.6295,0.627324496742,0.616919080396
1911,NY1,756,542,4.9412,3.5425,99,54,0.6471,0.6750996,0.6441242,0.6974,0.6649,0.660506182827,0.647707848358
1963,NYA,714,547,4.4348,3.3975,104,57,0.6460,0.6317660,0.6074037,0.6527,0.6324,0.630151853202,0.619534883285
1909,DET,666,493,4.3816,3.2434,98,54,0.6447,0.6538418,0.6178487,0.6755,0.6493,0.646013355568,0.634234956167
1923,NYA,823,622,5.4145,4.0921,98,54,0.6447,0.6404051,0.6357895,0.6616,0.6391,0.636459994381,0.625375827798
1929,CHN,982,758,6.4605,4.9868,98,54,0.6447,0.6270290,0.6503289,0.6478,0.6287,0.626636896252,0.616283124544
1908,CHN,624,461,4.0519,2.9935,99,55,0.6429,0.6551323,0.6099675,0.6768,0.6502,0.646914671447,0.635071641008
1984,DET,829,643,5.1173,3.9691,104,58,0.6420,0.6240062,0.6181420,0.6446,0.6264,0.624372893367,0.614189699608
1988,OAK,800,620,4.9383,3.8272,104,58,0.6420,0.6245161,0.6145062,0.6452,0.6268,0.624755954705,0.614543842819
1993,ATL,767,559,4.7346,3.4506,104,58,0.6420,0.6640930,0.6325123,0.6860,0.6569,0.653095684803,0.640813638076
1979,BAL,757,582,4.7610,3.6604,102,57,0.6415,0.6295326,0.6136038,0.6503,0.6307,0.628499637519,0.618006134556
1921,NYA,948,708,6.1961,4.6275,98,55,0.6405,0.6480678,0.6603726,0.6695,0.6449,0.641946101625,0.630461240599
1928,PHA,829,615,5.4183,4.0196,98,55,0.6405,0.6524163,0.6436471,0.6740,0.6482,0.645014481926,0.633307887779
1955,BRO,857,650,5.6013,4.2484,98,55,0.6405,0.6381354,0.6387516,0.6592,0.6374,0.634815363512,0.623852349447
2002,NYA,897,697,5.5714,4.3292,103,58,0.6398,0.6228809,0.6273789,0.6435,0.6255,0.623525865262,0.613406697055
1971,BAL,742,530,4.6962,3.3544,101,57,0.6392,0.6776000,0.6385063,0.7000,0.6667,0.662162162162,0.649250013995
1908,NY1,652,456,4.2338,2.9610,98,56,0.6364,0.6920351,0.6318571,0.7149,0.6769,0.671527865538,0.657983237468
1908,PIT,585,469,3.7987,3.0455,98,56,0.6364,0.6037100,0.5787857,0.6237,0.6101,0.608739812091,0.599755536579
1917,NY1,635,457,4.1234,2.9675,98,56,0.6364,0.6725164,0.6199286,0.6947,0.6630,0.658784722109,0.646105313788
1920,CLE,857,642,5.5649,4.1688,98,56,0.6364,0.6460872,0.6432338,0.6674,0.6434,0.640537827497,0.629155310687
1943,NYA,669,542,4.3442,3.5195,98,56,0.6364,0.5974096,0.5855974,0.6172,0.6049,0.60373115705,0.595138241979
1945,CHN,735,532,4.7727,3.4545,98,56,0.6364,0.6686842,0.6360000,0.6908,0.6602,0.656210939825,0.643710486198
1950,NYA,914,691,5.9351,4.4870,98,56,0.6364,0.6401968,0.6482143,0.6614,0.6389,0.636309418171,0.62523632437
1951,NYA,798,621,5.1818,4.0325,98,56,0.6364,0.6219517,0.6182013,0.6425,0.6247,0.622824699617,0.612758615939
1957,NYA,723,534,4.6948,3.4675,98,56,0.6364,0.6553034,0.6267143,0.6770,0.6504,0.647033921907,0.635182351839
1925,WS1,829,670,5.4901,4.4371,96,55,0.6358,0.5988597,0.6079669,0.6187,0.6061,0.604890590164,0.596206787771
1968,DET,671,492,4.1420,3.0370,103,59,0.6358,0.6600894,0.6146667,0.6819,0.6539,0.650350640252,0.638262647629
1980,NYA,820,662,5.0617,4.0864,103,59,0.6358,0.5995166,0.6003951,0.6193,0.6066,0.605414516263,0.596689700815
1990,OAK,733,570,4.5247,3.5185,103,59,0.6358,0.6224070,0.6041111,0.6430,0.6251,0.623168470022,0.613076350312
1993,SFN,808,636,4.9877,3.9259,103,59,0.6358,0.6148931,0.6093704,0.6352,0.6191,0.617447227056,0.607790757873
1999,ATL,840,661,5.1852,4.0802,103,59,0.6358,0.6150681,0.6136235,0.6354,0.6193,0.617581646202,0.607914885254
2002,OAK,800,654,4.9383,4.0370,103,59,0.6358,0.5920489,0.5928889,0.6116,0.6004,0.599410330088,0.591157626985
2009,NYA,915,753,5.6481,4.6481,103,59,0.6358,0.5881275,0.6023519,0.6076,0.5971,0.596214733442,0.588215124436
1941,SLN,734,589,4.7974,3.8497,97,56,0.6340,0.6031511,0.5978170,0.6231,0.6096,0.608298510631,0.599348583199
1906,NY1,625,510,4.1118,3.3553,96,56,0.6316,0.5931373,0.5788158,0.6127,0.6013,0.60029198202,0.591969670088
2002,ATL,708,565,4.4250,3.5313,101,59,0.6313,0.6064991,0.5926313,0.6265,0.6123,0.610933236156,0.601778631611
1939,CIN,767,595,4.9805,3.8636,97,57,0.6299,0.6239126,0.6150584,0.6445,0.6263,0.624302514873,0.614124636642
1947,NYA,794,568,5.1558,3.6883,97,57,0.6299,0.6765775,0.6510000,0.6989,0.6659,0.661486160368,0.648620402884
1949,NYA,829,637,5.3831,4.1364,97,57,0.6299,0.6298838,0.6280325,0.6507,0.6310,0.628760029643,0.618247038431
1949,BRO,879,651,5.7078,4.2273,97,57,0.6299,0.6535115,0.6517857,0.6751,0.6490,0.645782244355,0.63402044202
1954,NY1,732,550,4.7532,3.5714,97,57,0.6299,0.6441600,0.6219740,0.6655,0.6420,0.639160992647,0.627878880572
1956,NYA,857,631,5.5649,4.0974,97,57,0.6299,0.6573502,0.6505909,0.6791,0.6519,0.648457103504,0.636503827175
1960,NYA,746,627,4.8442,4.0714,97,57,0.6299,0.5758596,0.5797468,0.5949,0.5867,0.586025304193,0.578840581945
1965,MIN,774,600,4.7778,3.7037,102,60,0.6296,0.6243600,0.6108519,0.6450,0.6266,0.624638714763,0.614435451125
1970,CIN,775,681,4.7840,4.2037,102,60,0.6296,0.5508076,0.5599815,0.5690,0.5646,0.564292465327,0.558880613789
1974,LAN,798,561,4.9259,3.4630,102,60,0.6296,0.6884706,0.6507593,0.7112,0.6744,0.669245684559,0.655853381322
1976,CIN,857,633,5.2901,3.9074,102,60,0.6296,0.6552733,0.6421296,0.6769,0.6503,0.647012962301,0.635162892973
1977,KCA,822,651,5.0741,4.0185,102,60,0.6296,0.6111336,0.6086481,0.6313,0.6161,0.614545901035,0.60511221344
1998,HOU,874,620,5.3951,3.8272,102,60,0.6296,0.6822839,0.6610988,0.7048,0.6700,0.665237277449,0.652115336046
2001,OAK,884,645,5.4568,3.9815,102,60,0.6296,0.6633426,0.6515000,0.6853,0.6563,0.652583214264,0.640337282478
2011,PHI,713,529,4.4012,3.2654,102,60,0.6296,0.6523478,0.6175864,0.6739,0.6481,0.644966442953,0.633263306854
1919,CHA,667,534,4.7643,3.8143,88,52,0.6286,0.6045468,0.5980857,0.6245,0.6107,0.609399420584,0.600363854508
