Field,Type,Null,Key,Default,Extra
home_batter_7_name,varchar(255),NO,,,
home_batter_7_pos,tinyint(3),NO,,0,
home_batter_8_id,varchar(8),NO,,,
home_batter_8_name,varchar(255),NO,,,
home_batter_8_pos,tinyint(3),NO,,0,
home_batter_9_id,varchar(8),NO,,,
home_batter_9_name,varchar(255),NO,,,
home_batter_9_pos,tinyint(3),NO,,0,
additional_info,varchar(255),NO,,,
acquisition,char(1),NO,,,
