visitor_ab,home_ab,visitor_hr,home_hr,visitor_h,home_h,visitor_2b,home_2b,visitor_3b,home_3b,visitor_bb,home_bb,home,visitor,year
30,33,1,2,5,10,1,3,1,0,4,10,CLE,TOR,2009
31,34,2,1,5,9,2,2,0,0,3,2,DET,TEX,2009
31,32,0,1,6,7,1,3,0,1,2,2,KCA,NYA,2009
28,29,0,0,3,3,1,0,0,0,3,2,OAK,SEA,2009
31,34,2,0,8,9,2,3,0,0,1,0,ARI,SLN,2009
27,29,0,0,1,9,0,1,0,0,4,9,CHN,COL,2009
31,38,0,3,6,15,1,2,0,1,0,5,LAN,SFN,2009
32,36,2,2,6,10,2,0,0,1,5,8,MIL,CIN,2009
37,33,2,1,9,7,3,2,0,0,5,4,NYN,SDN,2009
31,36,0,2,4,14,2,5,0,0,2,5,PIT,HOU,2009
36,39,3,3,10,12,3,2,0,0,3,2,WAS,PHI,2009
42,36,4,1,16,9,4,1,0,1,6,9,DET,CHA,2009
37,28,0,1,10,5,2,1,0,0,4,5,KCA,CLE,2009
42,36,3,1,19,13,3,4,0,1,2,2,MIN,TOR,2009
32,33,1,2,6,12,1,2,0,1,1,1,OAK,BOS,2009
34,41,1,3,9,17,2,4,0,0,2,8,TBA,NYA,2009
44,36,1,3,16,11,5,4,0,0,3,5,TEX,BAL,2009
39,42,0,2,11,12,3,1,0,1,4,4,ARI,SLN,2009
35,30,0,1,10,4,1,1,0,0,2,2,ATL,FLO,2009
33,30,1,1,8,5,3,2,0,0,7,4,MIL,CIN,2009
35,33,0,2,10,11,1,3,0,2,1,4,KCA,CLE,2009
40,39,0,0,7,10,2,3,0,0,1,1,MIN,TOR,2009
48,45,0,0,12,11,2,1,0,0,7,8,OAK,BOS,2009
35,31,1,0,7,7,2,1,0,0,6,3,SEA,ANA,2009
35,28,2,0,11,3,3,0,0,0,2,1,TBA,NYA,2009
37,39,3,3,9,13,2,1,0,0,7,2,TEX,BAL,2009
41,35,1,2,13,10,4,6,1,0,8,5,ARI,SLN,2009
38,32,0,0,12,6,2,1,0,1,8,3,ATL,FLO,2009
34,31,1,1,9,7,3,1,0,0,7,3,CHN,COL,2009
30,35,2,1,4,13,0,2,0,0,1,6,LAN,SFN,2009
32,33,1,3,7,9,1,5,0,0,1,3,MIL,CIN,2009
32,27,1,1,6,7,0,0,0,0,2,6,NYN,SDN,2009
32,33,0,1,8,9,4,0,0,0,2,2,PIT,HOU,2009
29,36,0,1,4,11,0,2,1,0,3,5,DET,CHA,2009
33,32,0,1,10,7,5,0,0,1,5,6,KCA,CLE,2009
41,31,4,0,16,4,2,1,0,0,5,3,MIN,TOR,2009
36,32,2,0,10,4,3,1,0,0,6,2,OAK,BOS,2009
35,35,1,3,8,15,3,3,0,0,0,6,SEA,ANA,2009
35,31,1,1,8,6,4,3,0,0,3,1,TBA,NYA,2009
35,44,2,2,9,19,3,5,0,2,4,7,TEX,BAL,2009
34,34,1,0,9,9,1,3,2,0,3,3,ATL,FLO,2009
36,33,3,1,12,6,2,1,0,0,4,4,CHN,SLN,2009
34,30,0,1,9,7,2,1,0,1,4,6,LAN,SFN,2009
33,35,0,2,9,9,1,1,0,0,3,5,NYN,SDN,2009
36,34,2,0,10,10,2,3,1,1,7,3,PIT,HOU,2009
29,35,0,4,5,13,1,1,0,0,2,5,WAS,PHI,2009
40,35,2,1,14,9,4,0,0,0,5,0,MIN,TOR,2009
39,34,2,1,13,9,5,1,0,0,7,8,NYA,CLE,2009
38,30,0,0,10,4,1,0,0,0,1,1,SEA,ANA,2009
39,33,1,1,14,5,1,0,1,0,2,6,TBA,CHA,2009
34,34,3,1,10,12,2,3,0,0,4,4,CHN,SLN,2009
32,28,1,0,7,4,2,0,0,0,4,7,HOU,CIN,2009
33,35,1,0,6,11,3,2,0,0,4,5,LAN,COL,2009
33,36,1,1,8,13,1,1,0,0,1,7,NYN,MIL,2009
41,38,3,1,15,14,2,3,0,1,2,4,PHI,SDN,2009
29,30,0,1,6,6,0,0,0,2,3,2,PIT,ATL,2009
29,29,0,1,3,6,2,1,0,0,5,2,SFN,ARI,2009
39,40,2,0,10,12,2,4,0,0,2,2,WAS,FLO,2009
38,33,1,2,11,12,1,2,0,1,6,7,BOS,BAL,2009
38,35,0,2,12,13,1,3,0,1,5,5,MIN,ANA,2009
32,33,1,5,9,8,1,0,0,0,5,6,NYA,CLE,2009
34,31,0,0,9,8,0,3,0,0,2,2,SEA,DET,2009
35,32,2,2,9,9,2,4,0,0,3,3,TBA,CHA,2009
43,38,3,3,19,12,4,0,0,0,7,2,TEX,KCA,2009
33,32,0,2,7,6,2,1,1,0,6,6,TOR,OAK,2009
36,42,1,1,6,10,3,2,0,1,8,7,CHN,SLN,2009
27,37,0,0,2,13,0,3,0,0,3,2,HOU,CIN,2009
32,34,1,4,7,12,1,0,1,0,6,4,LAN,COL,2009
32,28,0,0,6,6,0,0,0,0,0,3,NYN,MIL,2009
36,35,2,3,10,8,4,2,0,0,7,1,PHI,SDN,2009
28,36,0,2,4,13,1,6,0,1,3,5,PIT,ATL,2009
33,31,0,0,7,8,1,1,0,0,1,1,SFN,ARI,2009
47,39,3,1,11,7,2,0,0,0,3,5,WAS,FLO,2009
35,36,0,1,8,12,3,5,0,0,4,5,BOS,BAL,2009
34,36,1,0,7,12,1,2,0,0,2,6,MIN,ANA,2009
52,33,6,2,25,7,7,1,0,1,6,5,NYA,CLE,2009
34,30,0,0,9,5,1,1,0,0,3,2,SEA,DET,2009
33,36,2,0,8,11,3,0,0,0,10,4,TBA,CHA,2009
30,33,1,0,5,7,1,1,0,1,3,0,TEX,KCA,2009
40,40,0,1,5,7,3,2,0,0,3,9,TOR,OAK,2009
31,32,0,0,7,7,2,0,1,0,3,8,HOU,CIN,2009
33,38,2,2,8,19,2,6,0,0,3,5,LAN,COL,2009
32,36,1,0,8,12,1,3,0,2,2,3,NYN,MIL,2009
35,32,1,3,12,9,0,1,1,1,2,0,PHI,SDN,2009
36,34,2,0,15,7,5,1,0,0,5,2,PIT,ATL,2009
25,29,0,0,1,7,1,0,0,1,2,5,SFN,ARI,2009
34,35,1,0,9,9,5,0,0,0,10,9,WAS,FLO,2009
32,29,0,0,6,6,0,3,0,0,2,1,BOS,BAL,2009
30,32,0,0,4,10,0,1,0,0,2,1,MIN,ANA,2009
29,32,2,1,4,9,0,4,0,0,7,3,NYA,CLE,2009
38,35,0,1,12,10,3,1,0,0,3,0,SEA,DET,2009
40,34,3,1,17,8,2,2,0,0,5,0,TBA,CHA,2009
33,31,2,2,9,7,0,1,0,0,2,6,TEX,KCA,2009
31,28,0,0,5,5,1,0,0,0,2,3,TOR,OAK,2009
34,34,1,2,8,10,3,3,0,0,2,3,ARI,COL,2009
33,32,0,2,10,11,1,1,0,0,3,2,HOU,CIN,2009
28,33,0,1,2,11,0,2,0,0,1,6,PIT,FLO,2009
30,29,1,0,6,8,2,1,1,0,3,4,WAS,ATL,2009
31,39,0,1,5,15,1,4,0,1,4,5,BOS,BAL,2009
42,38,1,3,15,11,5,1,0,0,3,3,ARI,COL,2009
33,32,1,1,6,9,2,1,0,0,3,7,CHN,CIN,2009
34,30,1,1,8,11,0,2,1,0,7,3,HOU,LAN,2009
36,37,2,1,11,13,0,4,0,0,2,9,PHI,MIL,2009
30,31,1,1,6,7,1,3,0,0,4,2,PIT,FLO,2009
38,31,0,1,14,10,1,2,0,0,1,3,SFN,SDN,2009
33,33,0,0,11,11,1,3,1,1,3,7,SLN,NYN,2009
32,32,0,1,9,9,3,3,0,1,5,5,WAS,ATL,2009
34,31,2,1,8,10,1,1,0,0,1,4,ANA,DET,2009
31,35,0,2,5,12,1,3,0,0,3,7,BAL,CHA,2009
34,31,1,2,13,9,3,0,0,0,4,9,CLE,KCA,2009
37,35,0,1,12,12,2,1,0,0,0,4,NYA,OAK,2009
33,32,0,0,6,7,3,1,0,2,4,1,SEA,TBA,2009
33,36,2,1,8,9,3,4,0,0,0,3,TOR,TEX,2009
36,28,0,0,9,6,0,1,0,0,2,6,ARI,COL,2009
34,33,1,0,9,6,1,0,0,0,0,0,CHN,CIN,2009
37,33,3,2,10,11,2,3,0,0,1,2,HOU,LAN,2009
32,34,1,1,8,8,1,0,0,0,3,2,PHI,MIL,2009
36,33,0,0,10,10,3,5,0,0,1,5,PIT,FLO,2009
36,32,0,0,8,4,1,1,0,0,1,5,SFN,SDN,2009
31,30,0,0,7,8,2,1,0,1,2,5,SLN,NYN,2009
33,31,0,0,6,6,1,2,0,0,5,2,WAS,ATL,2009
40,39,2,1,18,16,2,5,0,0,4,5,ANA,DET,2009
38,34,2,1,12,8,2,2,0,0,3,0,BAL,CHA,2009
27,31,0,3,5,14,3,5,0,0,1,4,BOS,MIN,2009
31,27,1,1,6,5,3,4,0,0,1,4,BOS,MIN,2009
33,31,0,0,9,5,2,0,0,0,1,3,CLE,KCA,2009
49,55,1,4,9,17,0,3,0,0,7,7,NYA,OAK,2009
40,29,0,1,15,4,4,1,0,0,8,3,SEA,TBA,2009
42,45,1,2,10,17,3,2,0,0,3,6,TOR,TEX,2009
38,32,1,0,13,7,3,1,1,0,2,2,CHN,CIN,2009
33,27,0,0,8,4,2,1,0,0,2,2,HOU,LAN,2009
36,27,2,1,10,2,1,0,0,0,4,3,PHI,MIL,2009
41,38,2,3,13,18,2,5,0,0,4,3,SLN,NYN,2009
33,40,1,1,7,15,0,1,0,0,4,3,ANA,DET,2009
34,34,0,0,7,10,1,4,0,0,0,5,BAL,CHA,2009
31,31,0,1,5,7,2,3,0,0,5,0,CLE,KCA,2009
30,28,0,1,4,4,0,0,0,0,4,1,SEA,TBA,2009
34,31,2,3,7,7,1,1,0,0,2,4,TOR,TEX,2009
38,32,2,0,12,6,2,4,1,0,3,1,ARI,SFN,2009
31,34,1,0,4,8,0,2,0,0,10,3,CIN,ATL,2009
36,35,0,1,12,9,3,3,0,0,8,8,COL,LAN,2009
36,31,2,1,8,9,2,3,0,0,6,8,FLO,PHI,2009
35,30,1,1,11,5,1,0,0,0,0,0,HOU,MIL,2009
35,33,2,0,9,11,0,3,0,2,1,7,NYN,WAS,2009
39,39,0,1,8,8,2,3,0,1,5,8,SDN,PIT,2009
33,31,0,0,8,9,3,2,0,0,2,1,SLN,CHN,2009
41,32,1,1,17,6,2,1,0,0,5,0,ANA,SEA,2009
39,34,2,1,12,8,1,1,0,0,0,5,BAL,TEX,2009
41,42,0,2,13,14,3,3,0,0,8,5,BOS,NYA,2009
47,33,1,0,21,6,7,1,1,0,7,7,CHA,TOR,2009
36,34,1,0,10,8,1,3,0,0,3,0,CLE,MIN,2009
29,32,0,2,3,8,1,1,0,0,1,2,KCA,DET,2009
38,32,3,1,13,5,4,0,0,0,8,4,OAK,TBA,2009
35,34,1,2,8,8,2,3,0,0,4,7,ARI,SFN,2009
36,32,2,1,12,6,4,2,0,0,4,2,CIN,ATL,2009
35,32,0,1,9,5,2,0,0,0,6,4,COL,LAN,2009
39,38,2,2,9,8,0,2,1,0,3,4,FLO,PHI,2009
44,44,3,2,17,10,2,3,0,0,6,8,HOU,MIL,2009
33,34,0,0,9,9,1,0,1,0,5,5,NYN,WAS,2009
35,32,0,0,14,6,5,0,0,1,6,2,SDN,PIT,2009
36,32,0,1,10,10,1,2,0,0,2,4,SLN,CHN,2009
37,37,2,2,12,11,2,5,0,0,2,4,ANA,SEA,2009
36,37,4,1,10,8,0,3,0,0,2,3,BAL,TEX,2009
42,33,3,3,15,13,3,5,0,0,8,7,BOS,NYA,2009
32,36,0,2,7,13,0,1,0,0,4,6,CHA,TOR,2009
41,35,3,0,15,9,2,3,0,0,1,0,CLE,MIN,2009
37,30,3,0,11,6,2,0,1,0,4,5,KCA,DET,2009
33,30,0,2,7,6,1,1,0,0,4,5,OAK,TBA,2009
46,40,1,2,14,9,5,1,0,0,2,7,ARI,SFN,2009
36,33,1,2,10,11,1,3,0,0,3,1,CIN,ATL,2009
36,31,0,2,9,11,3,1,0,1,5,4,COL,LAN,2009
37,34,0,0,12,8,2,1,0,0,11,1,FLO,PHI,2009
31,32,0,1,7,7,2,1,0,0,7,4,HOU,MIL,2009
39,30,2,0,13,6,2,0,0,1,6,3,NYN,WAS,2009
36,28,2,2,11,5,1,1,0,0,4,3,SDN,PIT,2009
40,34,2,2,14,8,3,2,0,0,3,4,SLN,CHN,2009
31,38,0,2,5,14,0,2,0,0,3,4,ANA,SEA,2009
40,33,3,2,11,14,3,2,0,0,1,5,BAL,TEX,2009
33,29,0,0,7,7,0,2,0,0,1,5,BOS,NYA,2009
37,35,0,0,11,9,4,2,0,0,3,1,CHA,TOR,2009
32,30,0,0,7,9,1,2,0,0,6,4,CLE,MIN,2009
30,30,1,1,6,4,0,1,0,0,1,6,KCA,DET,2009
28,32,0,0,4,10,0,2,0,0,3,5,OAK,TBA,2009
30,31,2,1,3,8,0,4,0,0,0,5,ARI,CHN,2009
33,30,0,0,8,8,0,3,0,0,4,2,ATL,SLN,2009
34,33,1,0,10,8,2,3,0,0,1,2,CIN,HOU,2009
41,38,1,0,14,17,4,4,1,0,3,7,COL,SDN,2009
