personid,female,adult,age,height_cm,weight_kg
11021502,1,1,21,156.8,46.6
11021503,0,0,4,97.5,13.2
11021504,0,0,12,150.4,36.3
11021506,1,0,11,,
11021601,1,1,22,144,38.2
11021602,0,0,1,,
11030101,1,1,37,147,62.4
11030102,1,0,15,147,36.6
11030103,0,0,14,154.7,38.3
11030104,1,0,9,124.5,23.7
11030201,0,1,60,169.7,40.3
11030202,1,1,55,156.7,44.3
11030203,0,1,21,176.5,61.8
11030204,1,1,18,158,47.3
11030205,1,0,9,138,28.9
11030206,0,0,.0833333,,
11030301,0,1,45,145,45.5
11030302,1,1,41,144.5,52.3
11030303,1,0,11,149,48.4
11030304,1,0,9,127.7,25.8
11030305,1,0,7,,
11030306,0,0,5,100,15.5
11030401,0,1,40,153.3,46.6
11030402,1,1,35,149.4,46.7
11030403,0,0,8,,
11030404,0,0,6,107.8,16.5
11030405,1,0,4,97.2,14.1
11030501,0,1,70,162.5,66.6
11030502,1,1,65,144,50.7
11030503,0,1,36,164,69.1
11030504,1,1,32,152.5,48.9
11030505,1,0,14,147,41.9
11030506,1,0,14,146.7,39.6
11030507,1,0,10,145,28.1
11030508,1,0,8,122,20.2
11030509,0,0,6,118.4,18.1
11030510,1,1,90,,
11030511,0,1,34,165.5,67.6
11030512,1,1,32,152.5,59.5
11030513,1,0,11,130.8,24.7
11030514,1,0,13,148.5,41.4
11030515,1,1,28,144.5,35.4
11030516,1,0,7,130.5,23.6
11030517,1,0,6,124,20.3
11030518,1,0,4,110.7,17.2
11030519,1,0,2.166667,94.2,13
11030601,0,1,40,163.3,50.7
11030602,1,1,35,159,50.9
11030603,1,0,12,145.2,33.9
11030801,0,1,37,162.7,55.2
11030802,1,1,32,147.2,54.5
11030803,1,0,14,154.4,50.3
11030804,0,0,12,155.7,43.3
11030805,0,0,9,134,28.6
11030901,0,1,40,161.5,54.1
11030902,1,1,35,157,44.2
11030903,0,0,14,,
11030904,0,0,13,157.7,36.1
11030905,0,0,11,139,29.1
11030906,0,0,8,135.7,25.8
11031001,0,1,58,163.1,51.2
11031002,1,1,54,158.6,38.8
11031003,0,1,30,,
11031004,1,1,26,,
11031005,1,0,7,,
11031006,1,0,5,,
11031007,1,0,3,,
11031008,0,0,1.083333,,
11031009,0,1,26,167.5,51.8
11031010,1,1,23,149.2,35.2
11031011,1,0,7,120.3,19
11031012,0,0,5,112.1,16.7
11031101,0,1,33,155.8,50
11031102,1,1,30,142.3,39.3
11031103,0,0,4,91.1,13.4
11031104,1,0,1.166667,,
11031201,0,1,34,166.5,68.3
11031202,1,1,30,147.7,47.2
11031203,0,0,11,139.2,27.6
11031204,0,0,8,127.2,24.5
11031205,0,0,4,108.8,17.1
11031301,0,1,54,,
